commodity,variable,usada
cobre,aem,1
cobre,ag,1
cobre,bhp,1
cobre,ctra,1
cobre,desempleo_can,1
cobre,emergentes,1
cobre,eqt,1
cobre,fcx,1
cobre,gas_natural,1
cobre,kgc,1
cobre,nem,1
cobre,paas,1
cobre,petroleo_brent,1
cobre,shel,1
cobre,sp500,1
cobre,vix,1
gas_natural,desempleo_can,1
gas_natural,desempleo_usa,1
gas_natural,googl,1
gas_natural,nem,1
gas_natural,paas,1
gas_natural,plata,1
oro,aem,1
oro,ag,1
oro,amd,1
oro,bhp,1
oro,ctra,1
oro,desempleo_can,1
oro,desempleo_fra,1
oro,desempleo_ita,1
oro,desempleo_jpn,1
oro,desempleo_usa,1
oro,dxy_fut,1
oro,emergentes,1
oro,eqt,1
oro,fcx,1
oro,kgc,1
oro,nem,1
oro,paas,1
oro,petroleo_brent,1
oro,pib_gbr,1
oro,shel,1
oro,tasa_5y,1
oro,vix,1
oro,wpm,1
petroleo_brent,aem,1
petroleo_brent,ag,1
petroleo_brent,bhp,1
petroleo_brent,ctra,1
petroleo_brent,desempleo_can,1
petroleo_brent,desempleo_ita,1
petroleo_brent,desempleo_usa,1
petroleo_brent,emergentes,1
petroleo_brent,eqt,1
petroleo_brent,fcx,1
petroleo_brent,gas_natural,1
petroleo_brent,kgc,1
petroleo_brent,nem,1
petroleo_brent,paas,1
petroleo_brent,pib_gbr,1
petroleo_brent,pib_ita,1
petroleo_brent,plata,1
petroleo_brent,shanghai,1
petroleo_brent,vix,1
petroleo_brent,xom,1
plata,aem,1
plata,ag,1
plata,bhp,1
plata,ctra,1
plata,desempleo_can,1
plata,desempleo_jpn,1
plata,desempleo_usa,1
plata,dxy_fut,1
plata,emergentes,1
plata,eqt,1
plata,fcx,1
plata,kgc,1
plata,nem,1
plata,paas,1
plata,petroleo_brent,1
plata,pib_gbr,1
plata,shel,1
plata,vix,1
plata,wpm,1
